,dataset_name,method,theta,max,SSE,Total_time
236,Syn_n_50000_d_2_seed_7,asc,1.2,5.0,825538.5768124344,9.576781272888184
237,Syn_n_50000_d_2_seed_7,asc,1.2,10.0,825526.4803733906,12.34501028060913
238,Syn_n_50000_d_2_seed_7,asc,1.2,20.0,825517.1577777248,13.647498607635498
239,Syn_n_50000_d_2_seed_7,asc,1.2,50.0,825512.1282970613,15.682062149047852
240,Syn_n_50000_d_2_seed_7,asc,1.5,5.0,825535.7008032865,6.429771423339844
241,Syn_n_50000_d_2_seed_7,asc,1.5,10.0,825534.6374711265,8.470352411270142
242,Syn_n_50000_d_2_seed_7,asc,1.5,20.0,825525.156537705,9.73274040222168
243,Syn_n_50000_d_2_seed_7,asc,1.5,50.0,825512.1282970611,10.797550916671753
244,Syn_n_50000_d_2_seed_7,asc,2.0,5.0,825541.7222918173,5.123266220092773
245,Syn_n_50000_d_2_seed_7,asc,2.0,10.0,825535.7008032876,6.315990686416626
246,Syn_n_50000_d_2_seed_7,asc,2.0,20.0,825524.8309453926,7.82606840133667
247,Syn_n_50000_d_2_seed_7,asc,2.0,50.0,825512.1282970611,8.4524405002594
248,Syn_n_50000_d_2_seed_7,asc,5.0,5.0,825573.7358912674,2.7167513370513916
249,Syn_n_50000_d_2_seed_7,asc,5.0,10.0,825525.487087659,3.312127113342285
250,Syn_n_50000_d_2_seed_7,asc,5.0,20.0,825527.8037843637,4.2307093143463135
251,Syn_n_50000_d_2_seed_7,asc,5.0,50.0,825528.9997963861,4.927788019180298
252,Syn_n_50000_d_2_seed_7,asc,10.0,5.0,825553.5869516428,2.14725661277771
253,Syn_n_50000_d_2_seed_7,asc,10.0,10.0,825540.4407987593,2.988330602645874
254,Syn_n_50000_d_2_seed_7,asc,10.0,20.0,825530.8435255553,3.3879384994506836
255,Syn_n_50000_d_2_seed_7,asc,10.0,50.0,825536.0897478684,3.4298274517059326
256,Syn_n_50000_d_2_seed_8,asc,1.01,5.0,821202.4359859573,91.41705870628357
257,Syn_n_50000_d_2_seed_8,asc,1.01,10.0,821202.4359859598,89.61128306388855
258,Syn_n_50000_d_2_seed_8,asc,1.01,20.0,821199.6800717991,91.36172008514404
259,Syn_n_50000_d_2_seed_8,asc,1.01,50.0,821201.9669838401,90.89943933486938
260,Syn_n_50000_d_2_seed_8,asc,1.05,5.0,821202.435985958,26.180902004241943
261,Syn_n_50000_d_2_seed_8,asc,1.05,10.0,821202.4359859591,28.008089303970337
262,Syn_n_50000_d_2_seed_8,asc,1.05,20.0,821199.6800717991,28.921772480010986
263,Syn_n_50000_d_2_seed_8,asc,1.05,50.0,821201.9669838403,30.972869396209717
264,Syn_n_50000_d_2_seed_8,asc,1.1,5.0,821265.7898866094,14.241017580032349
